English,Chinese,Abbreviation,Note
cellulose,纤维素,,生物质主要组分
lignin,木质素,,生物质主要组分
hemicellulose,半纤维素,,生物质主要组分
biomass,生物质,,总称
lignocellulosic biomass,木质纤维素生物质,,常用于生物质预处理文献
lignocellulose,木质纤维素,,生物质结构总称
cell wall,细胞壁,,植物细胞壁
primary cell wall,初生细胞壁,,植物细胞壁结构
secondary cell wall,次生细胞壁,,植物细胞壁结构
microfibril,微纤丝,,纤维素结构
cellulose microfibril,纤维素微纤丝,,纤维素聚集结构
amorphous region,无定形区,,纤维素结构
crystalline region,结晶区,,纤维素结构
crystallinity,结晶度,,材料结构参数
crystallinity index,结晶指数,CrI,常见于XRD分析
degree of polymerization,聚合度,DP,纤维素分子链长度指标
molecular weight,分子量,,聚合物参数
weight-average molecular weight,重均分子量,Mw,聚合物参数
number-average molecular weight,数均分子量,Mn,聚合物参数
polydispersity index,多分散系数,PDI,聚合物参数
dissolving pulp,溶解浆,,高纯纤维素原料
pulp,纸浆,,根据上下文可译为浆料或纸浆
bleached pulp,漂白浆,,纸浆类型
kraft pulp,硫酸盐浆,,制浆类型
sulfite pulp,亚硫酸盐浆,,制浆类型
cotton linter,棉短绒,,纤维素原料
microcrystalline cellulose,微晶纤维素,MCC,常用纤维素原料
nanocellulose,纳米纤维素,,总称
cellulose nanofibril,纤维素纳米纤丝,CNF,纳米纤维素类型
cellulose nanocrystal,纤维素纳米晶,CNC,纳米纤维素类型
bacterial cellulose,细菌纤维素,BC,纤维素类型
regenerated cellulose,再生纤维素,,溶解后再生得到
cellulose acetate,醋酸纤维素,CA,纤维素衍生物
acetylation,乙酰化,,化学改性
esterification,酯化,,化学反应
etherification,醚化,,化学反应
oxidation,氧化,,化学反应
carboxylation,羧基化,,化学改性
carboxymethylation,羧甲基化,,纤维素改性
depolymerization,解聚,,聚合物链断裂
degradation,降解,,材料或分子降解
hydrolysis,水解,,化学或酶促反应
acid hydrolysis,酸水解,,酸处理
enzymatic hydrolysis,酶解,,酶促水解
alkaline treatment,碱处理,,NaOH等处理
acid treatment,酸处理,,酸体系处理
pretreatment,预处理,,实验处理过程
deep eutectic solvent,深共熔溶剂,DES,第一次出现写作“深共熔溶剂（DES）”
natural deep eutectic solvent,天然深共熔溶剂,NADES,第一次出现写作“天然深共熔溶剂（NADES）”
DES,DES,DES,保留缩写
NADES,NADES,NADES,保留缩写
hydrogen bond donor,氢键供体,HBD,DES组成部分
hydrogen bond acceptor,氢键受体,HBA,DES组成部分
choline chloride,氯化胆碱,ChCl,常见氢键受体
ChCl,ChCl,ChCl,保留缩写
glycerol,甘油,GL,注意有些文献也写作Gly
glycolic acid,乙醇酸,GA,注意根据上下文判断GA含义
lactic acid,乳酸,LA,常见氢键供体
oxalic acid,草酸,OA,常见氢键供体
malic acid,苹果酸,MA,常见氢键供体
citric acid,柠檬酸,CA,注意不要与cellulose acetate混淆
urea,尿素,,常见氢键供体
ethylene glycol,乙二醇,EG,常见氢键供体
levulinic acid,乙酰丙酸,LevA,生物基酸
formic acid,甲酸,FA,有机酸
acetic acid,乙酸,AA,有机酸
sulfuric acid,硫酸,H2SO4,酸水解常用
hydrochloric acid,盐酸,HCl,酸处理
phosphoric acid,磷酸,H3PO4,酸处理
sodium hydroxide,氢氧化钠,NaOH,碱处理
potassium hydroxide,氢氧化钾,KOH,碱处理
hydrogen peroxide,过氧化氢,H2O2,氧化剂
sodium chlorite,亚氯酸钠,NaClO2,脱木质素常用
sodium hypochlorite,次氯酸钠,NaClO,氧化剂
dioxane,二氧六环,,LCC或木质素抽提常用溶剂
1,4-dioxane,1,4-二氧六环,,溶剂
ethanol,乙醇,EtOH,溶剂
